Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,ID,What is your age in years?,"What sex were you assigned at birth, such as on an original birth certificate?",What is your gender?,"Please indicate your ethnicity (i.e. peoples’ ethnicity describes their feeling of belonging and attachment to a distinct group of a larger population that shares their ancestry, colour, language or religion)?",,What is your nationality?,,What is your religious affiliation?,,"As a Christian, which of these groups do you identify with? Select all that apply.",,,,,,,,,,Use the slider to indicate how important religion is in your life from 0 (not important at all) to 100 (extremely important).,How often do you think about religious issues?,To what extent do you believe that God or something divine exists?,How often do you take part in religious services?,How often do you pray?,How often do you experience situations in which you have the feeling that God or something divine intervenes in your life?,"The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting.",,,,,,,,,,,,,,,,,,,,,With how many different partners have you had sex within the past 12 months?,With how many different partners have you had sexual intercourse on one and only one occasion?,With how many different partners have you had sexual intercourse without having an interest in a long-term committed relationship with this person?,Sex without love is OK.,I can imagine myself being comfortable and enjoying “casual” sex with different partners.,"I do not want to have sex with a person until I am sure that we will have a long-term, serious relationship.",How often do you have fantasies about having sex with someone with whom you do not have a committed romantic relationship?,How often do you experience sexual arousal when you are in contact with someone with whom you do not have a committed romantic relationship?,"In everyday life, how often do you have spontaneous fantasies about having sex with someone you have just met?",Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale: Strongly Disagree = 1; Disagree = 2; Neutral = 3; Agree = 4; Strongly Agree = 5,,,,,,,"The following questions concern values that people may or may not hold. Please click bubbles to indicate the degree to which you disagree or agree with each statement, where higher numbers mean you agree with the statement more and lower numbers mean you disagree with the statement more.",,,,,,,,,,,
1.10016E+11,270412194,6/21/24 9:56,6/21/24 10:03,109.242.233.78,,,,,4125727165,26,Male,Male,White/Caucasian,,Other (please specify),Greece,Christian,,,,Orthodox,,,,,,,,34,Rarely,Quite a bit,A few times a year,Less often,Rarely,3,2,5,"6, Extremely disgusting","0, Not disgusting at all",4,2,2,4,"6, Extremely disgusting",2,5,"6, Extremely disgusting",2,3,"6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting",4,3,2,1,0,2,6,2,2,2 – very seldom,1 – never,3 – about once every two or three months,4,2,3,2,3,3,4,4,3,1,4,5,2,"6, Strongly agree",4,3,2,4,2
1.10016E+11,270412194,6/21/24 9:48,6/21/24 10:02,189.153.11.200,,,,,3430862586,30,Male,Male,Latino/Hispanic,,Mexico,,None,,,,,,,,,,,,0,Occasionally,Not at all,Never,Never,Never,3,5,4,5,2,2,2,2,2,4,2,2,4,2,3,4,5,4,3,2,2,0,0,0,8,7,5,5 – about once every two weeks,1 – never,1 – never,3,1,2,1,3,3,1,"6, Strongly agree","0, Strongly disagree",5,"6, Strongly agree","6, Strongly agree",5,"6, Strongly agree",4,"6, Strongly agree","0, Strongly disagree",1,5
1.10016E+11,270412194,6/21/24 9:55,6/21/24 10:02,109.146.198.14,,,,,4838168923,20,Female,Female,White/Caucasian,,United Kingdom,,None,,,,,,,,,,,,28,Rarely,Not very much,Never,Never,Never,3,4,5,5,"0, Not disgusting at all",3,4,2,2,4,3,4,3,"0, Not disgusting at all",2,4,5,4,4,"0, Not disgusting at all",2,5–6,5–6,3,8,7,2,3 – about once every two or three months,5 – about once every two weeks,2 – very seldom,3,1,1,2,5,4,4,4,3,3,3,2,3,4,3,4,3,4,3
1.10016E+11,270412194,6/21/24 9:48,6/21/24 10:01,41.4.7.249,,,,,7639198796,23,Female,Female,African,,Other (please specify),South Africa,Christian,,,,,,Lutheran,,,,,,100,Very often,Very much so,More than once a week,More than once a week,Very often,3,4,"6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all",2,"6, Extremely disgusting","0, Not disgusting at all","6, Extremely disgusting",2,"6, Extremely disgusting","6, Extremely disgusting",4,5,"0, Not disgusting at all","6, Extremely disgusting","0, Not disgusting at all",5,"6, Extremely disgusting",2,1,1,3,2,"1, Strongly Disagree","9, Strongly agree",2 – very seldom,1 – never,5 – about once every two weeks,4,1,1,3,4,5,5,5,"6, Strongly agree",5,"0, Strongly disagree",3,5,"6, Strongly agree",5,"6, Strongly agree",5,4,4
1.10016E+11,270412194,6/21/24 9:48,6/21/24 10:01,188.146.124.136,,,,,3865250199,23,Female,Non-binary,White/Caucasian,,Other (please specify),Poland,None,,,,,,,,,,,,50,Often,Moderately,Less often,Never,Rarely,"0, Not disgusting at all",4,"6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all","6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all","6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all","6, Extremely disgusting","0, Not disgusting at all","6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all",1,0,0,6,"9, Strongly agree","1, Strongly Disagree",7 – several times per week,2 – very seldom,1 – never,5,1,1,1,5,5,5,"6, Strongly agree",4,1,3,"6, Strongly agree",1,"0, Strongly disagree",4,"6, Strongly agree","6, Strongly agree",4,"0, Strongly disagree"
1.10016E+11,270412194,6/21/24 9:48,6/21/24 9:59,79.170.253.189,,,,,9694623393,24,Female,female,White/Caucasian,,Other (please specify),Czech Republic,None,,,,,,,,,,,,0,Rarely,Not very much,Never,Never,Never,"0, Not disgusting at all",2,3,5,"0, Not disgusting at all",2,3,"0, Not disgusting at all",2,4,2,2,2,2,3,4,"6, Extremely disgusting",3,3,2,5,1,10–19,7–9,"9, Strongly agree",8,2,2 – very seldom,1 – never,2 – very seldom,2,1,1,1,5,4,3,4,1,3,4,5,3,"6, Strongly agree",2,4,"0, Strongly disagree",4,1
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:59,201.188.145.72,,,,,5.00E+09,42,Male,Male,Latino/Hispanic,,Other (please specify),Chile,Christian,,Catholic,,,,,,,,,,0,Never,Not very much,Less often,Never,Occasionally,2,"0, Not disgusting at all",3,"6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all",4,"0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all",3,"6, Extremely disgusting","0, Not disgusting at all",3,3,3,"0, Not disgusting at all",4,"0, Not disgusting at all","0, Not disgusting at all",1,0,0,3,"1, Strongly Disagree","1, Strongly Disagree",3 – about once every two or three months,2 – very seldom,1 – never,3,1,1,3,4,5,4,4,5,"6, Strongly agree",1,3,5,"6, Strongly agree",4,4,3,5,4
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:58,91.141.77.74,,,,,7177180525,19,Male,Male,White/Caucasian,,Other (please specify),Austria,Christian,,Catholic,,,,,,,,,,10,Rarely,Not very much,Less often,Never,Never,2,5,4,"6, Extremely disgusting",4,2,5,4,2,5,4,"6, Extremely disgusting",5,5,2,4,5,4,4,4,5,0,0,0,3,2,8,1 – never,1 – never,1 – never,4,2,3,1,5,4,3,3,4,4,1,3,4,5,5,4,3,4,4
1.10016E+11,270412194,6/21/24 9:49,6/21/24 9:58,89.39.81.209,,,,,7060681099,20,Male,Male,White/Caucasian,,Other (please specify),Romania,None,,,,,,,,,,,,0,Occasionally,Moderately,Less often,Never,Rarely,3,5,"6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all",3,2,3,4,"6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting",3,"6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting",5,4,3,1,1,0,3,"1, Strongly Disagree","9, Strongly agree",1 – never,1 – never,1 – never,3,2,2,1,5,5,3,3,3,2,4,"6, Strongly agree",3,5,"6, Strongly agree","6, Strongly agree",3,4,2
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:58,2.83.250.170,,,,,1797046952,23,Male,Male,White/Caucasian,,Other (please specify),Portugal,Christian,,Catholic,,,,,,,,,,10,Never,Not very much,Less often,Never,Rarely,5,2,4,"6, Extremely disgusting",2,"0, Not disgusting at all",2,3,2,3,"0, Not disgusting at all",3,4,3,3,2,3,4,2,3,3,0,3,3,6,7,2,6 – about once a week,3 – about once every two or three months,2 – very seldom,2,2,3,5,3,3,4,2,5,"6, Strongly agree",1,"0, Strongly disagree","6, Strongly agree",1,5,4,5,"6, Strongly agree",5
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:57,174.90.223.56,,,,,7338556383,28,Female,Woman,White/Caucasian,,Canada,,None,,,,,,,,,,,,10,Often,Moderately,A few times a year,A few times a year,Rarely,2,3,5,4,"0, Not disgusting at all",4,3,2,5,"6, Extremely disgusting",3,"6, Extremely disgusting",5,"0, Not disgusting at all","6, Extremely disgusting",3,4,5,3,2,"6, Extremely disgusting",1,20 or more,20 or more,8,6,4,5 – about once every two weeks,5 – about once every two weeks,3 – about once every two or three months,4,2,2,1,5,5,2,4,2,3,5,"6, Strongly agree",3,"6, Strongly agree","6, Strongly agree","6, Strongly agree","0, Strongly disagree",4,3
1.10016E+11,270412194,6/21/24 9:48,6/21/24 9:57,189.163.50.37,,,,,6068915385,20,Female,female,Latino/Hispanic,,United States,,None,,,,,,,,,,,,4,Rarely,Not very much,Never,Never,Never,4,2,4,"6, Extremely disgusting","0, Not disgusting at all",2,"0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all","6, Extremely disgusting",3,4,4,"0, Not disgusting at all",2,"0, Not disgusting at all","6, Extremely disgusting","0, Not disgusting at all","6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all",2,1,1,6,5,4,1 – never,1 – never,1 – never,5,1,1,1,5,5,5,5,3,5,3,3,3,3,3,3,3,3,3
1.10016E+11,270412194,6/21/24 9:48,6/21/24 9:56,189.183.219.226,,,,,8735478033,23,Male,Male,Latino/Hispanic,,Mexico,,Other (please specify),Agnostic,,,,,,,,,,,5,Rarely,Moderately,Never,Less often,Rarely,3,"0, Not disgusting at all","6, Extremely disgusting",3,2,3,"0, Not disgusting at all",2,2,5,4,"6, Extremely disgusting",4,"6, Extremely disgusting",5,5,"6, Extremely disgusting","6, Extremely disgusting",3,5,5,1,1,0,5,2,7,2 – very seldom,1 – never,1 – never,2,1,1,1,5,5,3,4,3,3,2,4,2,"6, Strongly agree",4,"6, Strongly agree",3,3,4
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:56,79.168.16.91,,,,,9552635938,28,Female,Female,Mixed,,Other (please specify),Portuguese,Christian,,Catholic,,,,,,,,,,5,Occasionally,Not very much,Less often,Less often,Rarely,4,5,4,"6, Extremely disgusting",2,3,4,2,3,"6, Extremely disgusting","6, Extremely disgusting",4,5,"0, Not disgusting at all",3,5,"6, Extremely disgusting",4,5,"0, Not disgusting at all",3,1,10–19,5–6,"9, Strongly agree","9, Strongly agree",7,3 – about once every two or three months,2 – very seldom,2 – very seldom,3,1,1,1,5,5,2,4,3,4,2,3,4,"6, Strongly agree",4,4,4,4,5
1.10016E+11,270412194,6/21/24 9:49,6/21/24 9:56,189.154.32.235,,,,,8325154606,33,Male,Masculine,Latino/Hispanic,,Mexico,,Christian,,Catholic,,,,,,,,,,80,Occasionally,Quite a bit,One time a month,More than once a week,Often,2,"6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all",4,2,"0, Not disgusting at all",4,3,2,5,4,2,5,"6, Extremely disgusting",3,3,4,"0, Not disgusting at all",2,1,2,2,"9, Strongly agree",7,"1, Strongly Disagree",7 – several times per week,2 – very seldom,6 – about once a week,3,2,1,1,2,5,3,5,"6, Strongly agree",5,"0, Strongly disagree","0, Strongly disagree",5,"6, Strongly agree",4,3,5,"6, Strongly agree",5
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:55,185.167.184.4,,,,,1581400075,29,Female,Female,White/Caucasian,,Other (please specify),Czechia,None,,,,,,,,,,,,1,Occasionally,Not very much,Never,Never,Rarely,"0, Not disgusting at all",4,4,"0, Not disgusting at all",2,2,"0, Not disgusting at all",2,5,3,5,"6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all",5,"0, Not disgusting at all",3,2,"0, Not disgusting at all",2,2,1,20 or more,20 or more,"9, Strongly agree","9, Strongly agree","1, Strongly Disagree",9 – at least once a day,8 – nearly every day,8 – nearly every day,4,3,3,4,4,4,4,"6, Strongly agree",4,3,4,4,5,"6, Strongly agree","6, Strongly agree",4,4,4,3
1.10016E+11,270412194,6/21/24 9:49,6/21/24 9:55,145.14.246.152,,,,,8914233880,21,Male,Male,White/Caucasian,,Other (please specify),Poland,None,,,,,,,,,,,,10,Rarely,Not very much,Less often,Less often,Never,4,4,5,5,2,3,"0, Not disgusting at all",2,4,5,3,"0, Not disgusting at all",4,5,4,5,"6, Extremely disgusting",5,3,2,2,0,0,0,3,3,7,6 – about once a week,5 – about once every two weeks,2 – very seldom,3,2,1,2,4,4,3,3,4,3,5,4,4,2,3,5,2,4,4
1.10016E+11,270412194,6/21/24 9:49,6/21/24 9:55,105.161.150.54,,,,,8260101485,22,Male,Male,African,,Other (please specify),Kenya,Christian,,Catholic,,,,,Methodist,,Baptist,,,70,Very often,Very much so,A few times a year,More than once a week,Very often,5,4,2,2,3,3,5,2,4,3,4,4,4,3,4,5,3,4,4,3,4,0,0,0,"1, Strongly Disagree","1, Strongly Disagree","9, Strongly agree",4 – about once a month,6 – about once a week,5 – about once every two weeks,4,3,3,1,4,5,5,"6, Strongly agree","6, Strongly agree","6, Strongly agree","6, Strongly agree",2,4,3,4,5,5,3,4
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:55,197.89.96.109,,,,,3031045075,22,Female,Female ,African,,Other (please specify),South African,None,,,,,,,,,,,,32,Rarely,Moderately,Less often,One time a month,Often,2,5,"6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all",2,2,3,5,5,4,"6, Extremely disgusting",2,2,3,4,5,4,5,2,5,0,2,0,7,5,"9, Strongly agree",2 – very seldom,1 – never,3 – about once every two or three months,4,1,1,3,5,4,3,5,"6, Strongly agree","6, Strongly agree",4,"6, Strongly agree",4,"6, Strongly agree",5,2,"6, Strongly agree",4,4
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:55,41.122.83.107,,,,,7386348599,19,Female,Female ,African,,Other (please specify),South Africa,None,,,,,,,,,,,,100,Very often,Very much so,More than once a week,More than once a week,Very often,"6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all","6, Extremely disgusting","0, Not disgusting at all",4,"6, Extremely disgusting",3,"6, Extremely disgusting","6, Extremely disgusting",3,"6, Extremely disgusting",4,"6, Extremely disgusting",4,4,"6, Extremely disgusting","6, Extremely disgusting",1,1,0,4,"1, Strongly Disagree",3,2 – very seldom,2 – very seldom,2 – very seldom,3,3,1,1,4,5,3,4,5,4,3,3,5,"6, Strongly agree",5,3,2,4,1
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:54,200.74.85.102,,,,,5857428764,24,Female,Woman,Mixed,,United States,,None,,,,,,,,,,,,0,Rarely,Not at all,Never,Never,Never,4,"6, Extremely disgusting",3,"6, Extremely disgusting","0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all","0, Not disgusting at all",4,"6, Extremely disgusting",5,5,4,4,"6, Extremely disgusting",5,"6, Extremely disgusting","6, Extremely disgusting",5,"6, Extremely disgusting","0, Not disgusting at all",1,0,0,"9, Strongly agree","1, Strongly Disagree",7,2 – very seldom,2 – very seldom,1 – never,5,2,2,3,3,3,3,3,4,"6, Strongly agree",5,5,"6, Strongly agree","6, Strongly agree",3,"6, Strongly agree",3,3,"6, Strongly agree"
1.10016E+11,270412194,6/21/24 9:49,6/21/24 9:53,142.176.56.156,,,,,1693488188,24,Male,Male,White/Caucasian,,Canada,,Christian,,Catholic,,,,,,,,,,31,Rarely,Not very much,One time a month,A few times a year,Rarely,3,4,"6, Extremely disgusting",5,2,2,3,"0, Not disgusting at all",3,4,2,5,4,2,5,4,4,5,5,2,4,1,0,2,7,5,3,7 – several times per week,7 – several times per week,5 – about once every two weeks,2,1,2,1,5,4,1,5,3,3,5,"6, Strongly agree",2,5,3,5,2,4,3
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:53,101.56.65.210,,,,,1835826564,30,Female,female,White/Caucasian,,Italy,,Christian,,Catholic,,,,,,,,,,4,Rarely,Not at all,A few times a year,Never,Never,4,5,4,"6, Extremely disgusting","0, Not disgusting at all",5,3,"0, Not disgusting at all",3,"6, Extremely disgusting",5,4,5,3,5,5,"6, Extremely disgusting","6, Extremely disgusting",5,"0, Not disgusting at all",5,1,1,1,"9, Strongly agree",6,4,7 – several times per week,7 – several times per week,5 – about once every two weeks,3,1,1,2,5,5,3,1,3,4,3,2,4,3,5,2,2,4,4
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:52,181.43.212.27,,,,,7344126503,23,Male,Male,Latino/Hispanic,,Other (please specify),Chile,None,,,,,,,,,,,,5,Rarely,Quite a bit,Never,Never,Rarely,4,4,5,5,2,4,"0, Not disgusting at all",2,3,5,3,"6, Extremely disgusting",3,2,"6, Extremely disgusting",4,3,5,4,4,3,1,0,0,6,5,3,2 – very seldom,2 – very seldom,1 – never,3,1,3,3,2,1,3,4,2,5,4,5,"6, Strongly agree",5,2,5,"0, Strongly disagree","0, Strongly disagree",4
1.10016E+11,270412194,6/21/24 9:49,6/21/24 9:51,193.136.24.134,,,,,7815983199,22,Male,Male,White/Caucasian,,Other (please specify),Portugal,None,,,,,,,,,,,,,Never,Not very much,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10016E+11,270412194,6/21/24 9:47,6/21/24 9:48,89.114.75.115,,,,,7038831354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10016E+11,270409978,6/20/24 21:24,6/21/24 6:52,136.37.179.232,,,,,9872355439,22,Female,Female,East Asian,,United States,,Christian,,,,,,,,,Baptist,,,22,Occasionally,Very much so,Once a week,Never,Rarely,3,4,"6, Extremely disgusting",3,2,3,5,4,4,5,5,"6, Extremely disgusting",4,3,5,4,"6, Extremely disgusting",5,5,3,4,1,0,0,5,2,7,7 – several times per week,1 – never,1 – never,4,1,2,4,4,4,3,5,2,3,4,4,2,5,4,5,4,3,2
